,country,religiousity%,US$
0,Angola,88,4465
1,Brazil,79,9895
2,Bulgaria,52,8077
3,Colombia,82,6379
4,Tanzania,89,1034
5,Tajikistan,85,824
6,Thailand,94,6590
7,Turkmenistan,80,6642
8,United Arab Emirates,91,37732
9,Uzbekistan,51,1491
10,Turkey,79,10537
11,United Kingdom,30,39800
12,Vietnam,34,2354
13,Yemen,99,551
14,Zambia,95,1480
15,Venezuela,79,6890
16,Zimbabwe,88,1176
17,Albania,39,4544
18,Algeria,90,4033
19,Austria,39,47347
20,Afghanistan,97,588
21,Argentina,72,14462
22,Comoros,97,788
23,Ecuador,68,6216
24,Uruguay,41,16941
25,Tunisia,93,3496
26,Uganda,93,699
27,Ukraine,73,2583
28,Kyrgyzstan,72,1144
29,Malawi,99,324
30,Mexico,68,9318
31,Mauritania,98,1318
32,Mali,95,811
33,Madagascar,93,448
34,Malaysia,72,9755
35,Moldova,72,2280
36,Morocco,93,3151
37,Nicaragua,84,2207
38,Niger,99,440
39,Netherlands,26,48555
40,Myanmar,97,1264
41,New Zealand,33,41572
42,Nepal,93,834
43,Namibia,92,5589
44,Mozambique,86,429
45,Poland,86,13821
46,Pakistan,88,1541
47,Panama,81,15089
48,Norway,21,75389
49,Malta,86,27326
50,Paraguay,92,5600
51,Philippines,86,2976
52,Singapore,70,57713
53,Azerbaijan,34,4140
54,Belarus,34,5727
55,Benin,93,830
56,Bosnia and Herzegovina,65,5180
57,Bangladesh,93,1602
58,Belgium,44,43488
59,Bolivia,89,3353
60,Botswana,77,7584
61,Cameroon,96,1401
62,Cambodia,96,1390
63,Burkina Faso,88,664
64,Canada,40,45094
65,China,7,8643
66,Chad,95,810
67,Central African Republic,94,387
68,Chile,70,15067
69,Democratic Republic of the Congo,94,478
70,Denmark,42,56630
71,Croatia,70,13271
72,Costa Rica,79,11728
73,Czech Republic,23,20401
74,France,40,39932
75,Fiji,92,5527
76,Finland,56,45927
77,Egypt,97,2501
78,Estonia,16,19735
79,Georgia,93,4085
80,Ethiopia,99,873
81,Dominican Republic,87,7477
82,Ghana,95,1663
83,Hungary,39,14209
84,Iceland,51,70248
85,Germany,34,44769
86,Guinea,97,749
87,Honduras,84,2766
88,Greece,71,18637
89,Iran,83,5289
90,Indonesia,82,3876
91,India,76,1983
92,Iraq,84,4950
93,Italy,74,31996
94,Ireland,45,68710
95,Japan,13,38448
96,Latvia,40,15550
97,Lithuania,42,16730
98,Kenya,94,1702
99,Kazakhstan,64,8762
100,Laos,97,2542
101,Liberia,94,729
102,Papua New Guinea,83,2861
103,Nigeria,83,1994
104,Peru,82,6731
105,Portugal,60,21158
106,Senegal,96,1038
107,Republic of the Congo,95,1958
108,Russia,70,10955
109,Serbia,72,5901
110,Romania,77,10785
111,Saudi Arabia,93,21096
112,South Korea,44,29938
113,Spain,37,28358
114,Slovakia,47,17655
115,Slovenia,47,23654
116,South Africa,91,6179
117,Sudan,93,1428
118,Sri Lanka,99,4073
119,Switzerland,38,80637
120,Sweden,19,52925
121,Australia,34,55692
122,Bahrain,94,24325
123,Hong Kong,26,46080
124,Burundi,98,312
125,Armenia,93,3861
126,Belize,62,4806
127,Cyprus,75,25380
128,Djibouti,98,1989
129,El Salvador,83,3894
130,Guatemala,88,4469
131,Haiti,75,784
132,Luxembourg,39,105863
133,Jamaica,70,5193
134,Jordan,96,4135
135,Israel,30,40272
136,Kuwait,91,27393
137,Trinidad and Tobago,92,16637
138,United States,56,59792
139,Kosovo,83,3944
140,Lebanon,80,12013
141,Macedonia,88,5474
142,Montenegro,71,7678
143,Rwanda,95,772
144,Puerto Rico,85,31581
145,Qatar,95,61024
146,Togo,80,611
147,Taiwan,45,24292
